Matchup,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
"MAR 31, 2015 - BKN vs. IND",W,240,111,40,80,50,9,18,50,22,28,78.6,6,35,41,25,5,3,7,23
"MAR 29, 2015 - BKN vs. LAL",W,240,107,42,87,48.3,8,28,28.6,15,21,71.4,6,37,43,29,11,6,8,9
"MAR 27, 2015 - BKN vs. CLE",W,240,106,40,86,46.5,9,23,39.1,17,19,89.5,10,36,46,21,6,1,15,18
"MAR 25, 2015 - BKN @ CHA",W,240,91,39,91,42.9,3,14,21.4,10,11,90.9,5,41,46,28,6,8,9,18
"MAR 23, 2015 - BKN vs. BOS",L,240,91,32,89,36,1,17,5.9,26,30,86.7,16,32,48,15,7,5,11,13
"MAR 21, 2015 - BKN @ IND",W,240,123,46,75,61.3,6,12,50,25,31,80.6,3,32,35,21,4,4,8,18
"MAR 20, 2015 - BKN vs. MIL",W,315,129,46,107,43,11,25,44,26,34,76.5,16,37,53,31,9,7,15,25
"MAR 18, 2015 - BKN @ CLE",L,240,92,36,80,45,5,20,25,15,21,71.4,8,24,32,23,7,5,11,19
"MAR 16, 2015 - BKN @ MIN",W,240,122,52,90,57.8,5,13,38.5,13,17,76.5,13,30,43,21,8,2,14,15
"MAR 14, 2015 - BKN @ PHI",W,240,94,37,84,44,2,17,11.8,18,26,69.2,7,38,45,20,9,5,16,16
"MAR 11, 2015 - BKN @ MIA",L,240,98,32,73,43.8,6,17,35.3,28,39,71.8,14,30,44,15,8,2,21,24
"MAR 10, 2015 - BKN vs. NOP",L,240,91,35,84,41.7,6,16,37.5,15,23,65.2,12,29,41,19,5,5,12,12
"MAR 08, 2015 - BKN vs. UTA",L,240,88,38,76,50,8,15,53.3,4,11,36.4,7,23,30,21,9,2,14,16
"MAR 06, 2015 - BKN vs. PHX",L,265,100,34,97,35.1,8,22,36.4,24,29,82.8,18,39,57,21,5,1,20,29
"MAR 04, 2015 - BKN vs. CHA",L,240,91,35,88,39.8,3,16,18.8,18,24,75,12,26,38,15,6,1,9,24
"MAR 02, 2015 - BKN vs. GSW",W,240,110,44,89,49.4,10,21,47.6,12,16,75,11,27,38,20,7,1,13,12
"FEB 28, 2015 - BKN @ DAL",W,240,104,40,77,51.9,10,23,43.5,14,23,60.9,12,36,48,20,5,4,14,21
"FEB 27, 2015 - BKN @ HOU",L,240,98,38,85,44.7,4,17,23.5,18,20,90,12,32,44,17,8,4,16,21
"FEB 25, 2015 - BKN @ NOP",L,240,96,39,92,42.4,7,21,33.3,11,15,73.3,8,29,37,13,6,6,12,16
"FEB 23, 2015 - BKN @ DEN",W,240,110,43,92,46.7,4,21,19,20,23,87,14,43,57,21,7,9,10,17
"FEB 20, 2015 - BKN @ LAL",W,240,114,42,89,47.2,10,21,47.6,20,24,83.3,13,33,46,29,7,2,11,20
"FEB 10, 2015 - BKN @ MEM",L,240,86,35,81,43.2,3,12,25,13,17,76.5,14,32,46,14,7,5,20,24
"FEB 09, 2015 - BKN @ MIL",L,240,97,38,76,50,9,25,36,12,19,63.2,8,30,38,25,3,8,15,17
"FEB 07, 2015 - BKN @ WAS",L,240,77,26,77,33.8,4,18,22.2,21,31,67.7,13,25,38,17,8,4,15,20
"FEB 06, 2015 - BKN vs. NYK",W,240,92,37,74,50,3,11,27.3,15,22,68.2,10,37,47,23,1,10,14,19
"FEB 04, 2015 - BKN @ TOR",W,240,109,40,81,49.4,9,19,47.4,20,23,87,10,29,39,24,7,1,8,17
"FEB 02, 2015 - BKN vs. LAC",W,240,102,41,83,49.4,12,27,44.4,8,18,44.4,10,35,45,21,4,0,16,27
"JAN 30, 2015 - BKN vs. TOR",L,265,122,49,101,48.5,4,19,21.1,20,26,76.9,14,36,50,19,7,4,7,20
"JAN 28, 2015 - BKN @ ATL",L,240,102,39,87,44.8,9,24,37.5,15,18,83.3,9,26,35,26,6,5,8,20
"JAN 24, 2015 - BKN @ UTA",L,240,73,29,75,38.7,5,15,33.3,10,16,62.5,8,21,29,17,10,9,17,17
"JAN 22, 2015 - BKN @ LAC",L,240,84,33,88,37.5,4,21,19,14,25,56,15,25,40,17,11,3,12,14
"JAN 21, 2015 - BKN @ SAC",W,240,103,37,79,46.8,5,20,25,24,30,80,10,33,43,22,7,6,14,24
"JAN 17, 2015 - BKN vs. WAS",L,240,90,36,82,43.9,4,17,23.5,14,18,77.8,11,29,40,17,6,0,10,20
"JAN 16, 2015 - BKN @ WAS",W,240,102,37,81,45.7,4,12,33.3,24,31,77.4,8,31,39,18,12,4,10,19
"JAN 14, 2015 - BKN vs. MEM",L,240,92,36,75,48,10,26,38.5,10,12,83.3,6,30,36,19,5,1,18,25
"JAN 12, 2015 - BKN vs. HOU",L,240,99,39,84,46.4,5,21,23.8,16,18,88.9,11,30,41,18,7,4,16,18
"JAN 10, 2015 - BKN @ DET",L,240,93,37,88,42,9,31,29,10,10,100,9,37,46,25,6,2,13,23
"JAN 09, 2015 - BKN vs. PHI",L,240,88,33,73,45.2,3,16,18.8,19,27,70.4,9,33,42,21,8,3,17,19
"JAN 07, 2015 - BKN vs. BOS",L,240,81,30,74,40.5,3,14,21.4,18,26,69.2,11,39,50,18,3,6,17,18
"JAN 05, 2015 - BKN vs. DAL",L,265,88,33,84,39.3,3,25,12,19,23,82.6,7,45,52,20,5,7,14,21
"JAN 04, 2015 - BKN @ MIA",L,240,84,34,86,39.5,7,24,29.2,9,13,69.2,10,28,38,18,9,6,11,23
"JAN 02, 2015 - BKN @ ORL",W,240,100,41,72,56.9,7,20,35,11,18,61.1,4,41,45,26,7,5,22,16
"DEC 30, 2014 - BKN @ CHI",W,240,96,36,83,43.4,6,14,42.9,18,21,85.7,10,36,46,21,9,5,10,17
"DEC 29, 2014 - BKN vs. SAC",W,240,107,36,80,45,8,21,38.1,27,39,69.2,14,26,40,20,12,3,9,18
"DEC 27, 2014 - BKN vs. IND",L,240,85,28,77,36.4,7,25,28,22,27,81.5,5,30,35,15,2,4,15,20
"DEC 26, 2014 - BKN @ BOS",W,240,109,41,83,49.4,7,21,33.3,20,28,71.4,13,30,43,19,9,3,15,10
"DEC 23, 2014 - BKN vs. DEN",W,240,102,43,91,47.3,6,23,26.1,10,14,71.4,12,27,39,21,10,3,9,19
"DEC 21, 2014 - BKN vs. DET",W,240,110,40,76,52.6,8,20,40,22,29,75.9,3,34,37,29,9,4,15,18
"DEC 19, 2014 - BKN @ CLE",L,240,91,37,78,47.4,9,24,37.5,8,12,66.7,4,33,37,23,8,8,16,26
"DEC 17, 2014 - BKN @ TOR",L,240,89,35,81,43.2,9,27,33.3,10,22,45.5,14,29,43,20,3,8,13,16
"DEC 16, 2014 - BKN vs. MIA",L,240,91,30,77,39,8,28,28.6,23,32,71.9,11,26,37,25,9,2,17,26
"DEC 13, 2014 - BKN @ CHA",W,240,114,42,72,58.3,16,23,69.6,14,20,70,4,39,43,29,4,4,13,24
"DEC 12, 2014 - BKN vs. PHI",W,240,88,36,81,44.4,5,20,25,11,17,64.7,13,34,47,25,16,5,17,15
"DEC 10, 2014 - BKN @ CHI",L,240,80,29,88,33,3,14,21.4,19,24,79.2,15,29,44,16,9,5,11,25
"DEC 08, 2014 - BKN vs. CLE",L,240,88,36,81,44.4,4,19,21.1,12,19,63.2,10,23,33,25,6,2,12,18
"DEC 05, 2014 - BKN vs. ATL",L,240,75,30,80,37.5,3,18,16.7,12,19,63.2,9,42,51,16,4,2,17,21
"DEC 03, 2014 - BKN vs. SAS",W,265,95,37,90,41.1,9,19,47.4,12,18,66.7,9,45,54,20,2,2,10,10
"DEC 02, 2014 - BKN @ NYK",W,240,98,39,89,43.8,6,17,35.3,14,20,70,21,28,49,22,7,5,14,20
"NOV 30, 2014 - BKN vs. CHI",L,240,84,32,86,37.2,2,14,14.3,18,24,75,7,27,34,16,9,0,10,25
"NOV 26, 2014 - BKN @ PHI",W,240,99,35,71,49.3,8,24,33.3,21,28,75,4,36,40,25,10,7,24,19
"NOV 22, 2014 - BKN @ SAS",L,240,87,34,91,37.4,9,27,33.3,10,10,100,13,31,44,24,5,5,11,14
"NOV 21, 2014 - BKN @ OKC",W,240,94,31,67,46.3,5,15,33.3,27,30,90,10,28,38,17,2,6,18,17
"NOV 19, 2014 - BKN vs. MIL",L,315,118,44,92,47.8,9,31,29,21,29,72.4,10,39,49,26,7,6,20,25
"NOV 17, 2014 - BKN vs. MIA",L,240,83,29,70,41.4,9,23,39.1,16,26,61.5,11,24,35,18,10,5,12,19
"NOV 15, 2014 - BKN @ POR",L,240,87,35,89,39.3,1,19,5.3,16,17,94.1,12,31,43,15,7,2,9,24
"NOV 13, 2014 - BKN @ GSW",L,240,99,39,89,43.8,3,16,18.8,18,20,90,7,34,41,19,5,2,12,22
"NOV 12, 2014 - BKN @ PHX",L,240,104,35,74,47.3,9,21,42.9,25,32,78.1,8,29,37,17,9,4,19,25
"NOV 09, 2014 - BKN vs. ORL",W,240,104,40,83,48.2,4,14,28.6,20,23,87,14,31,45,23,10,5,14,21
"NOV 07, 2014 - BKN vs. NYK",W,240,110,38,74,51.4,14,24,58.3,20,26,76.9,7,35,42,18,6,6,16,24
"NOV 05, 2014 - BKN vs. MIN",L,240,91,36,82,43.9,8,21,38.1,11,17,64.7,7,35,42,17,6,5,18,22
"NOV 03, 2014 - BKN vs. OKC",W,240,116,44,84,52.4,11,23,47.8,17,19,89.5,9,33,42,25,11,3,8,21
"NOV 01, 2014 - BKN @ DET",W,240,102,42,87,48.3,7,26,26.9,11,13,84.6,12,36,48,18,3,3,8,23
"OCT 29, 2014 - BKN @ BOS",L,240,105,39,80,48.8,7,19,36.8,20,26,76.9,9,30,39,20,6,7,20,21
"APR 15, 2015 - NYK vs. DET",L,240,90,33,77,42.9,7,19,36.8,17,27,63,12,28,40,19,6,3,20,18
"APR 13, 2015 - NYK @ ATL",W,240,112,43,77,55.8,13,25,52,13,19,68.4,9,30,39,33,7,7,17,19
"APR 11, 2015 - NYK @ ORL",W,240,80,31,82,37.8,6,20,30,12,13,92.3,11,35,46,22,3,6,15,18
"APR 10, 2015 - NYK vs. MIL",L,240,91,34,72,47.2,5,13,38.5,18,24,75,5,37,42,22,7,5,24,26
"APR 08, 2015 - NYK vs. IND",L,240,86,29,84,34.5,7,17,41.2,21,26,80.8,9,25,34,13,8,2,11,25
"APR 05, 2015 - NYK vs. PHI",W,240,101,37,72,51.4,3,13,23.1,24,29,82.8,15,34,49,24,6,14,18,18
"APR 03, 2015 - NYK @ WAS",L,240,87,31,84,36.9,7,21,33.3,18,20,90,9,33,42,17,6,5,11,15
"APR 01, 2015 - NYK vs. BKN",L,240,98,37,81,45.7,11,23,47.8,13,15,86.7,10,30,40,20,6,4,13,15
"MAR 28, 2015 - NYK @ CHI",L,240,80,30,79,38,4,17,23.5,16,19,84.2,9,26,35,22,7,7,13,18
"MAR 27, 2015 - NYK vs. BOS",L,240,92,38,87,43.7,7,24,29.2,9,14,64.3,9,27,36,23,9,2,12,31
"MAR 25, 2015 - NYK vs. LAC",L,240,80,29,82,35.4,5,23,21.7,17,19,89.5,7,27,34,14,8,3,20,15
"MAR 23, 2015 - NYK vs. MEM",L,240,82,32,76,42.1,4,18,22.2,14,17,82.4,8,29,37,22,4,6,17,18
"MAR 22, 2015 - NYK @ TOR",L,240,89,35,84,41.7,8,19,42.1,11,16,68.8,12,26,38,24,9,4,11,23
"MAR 20, 2015 - NYK @ PHI",L,240,81,25,69,36.2,8,16,50,23,26,88.5,7,30,37,16,7,8,18,16
"MAR 19, 2015 - NYK vs. MIN",L,265,92,40,97,41.2,4,20,20,8,10,80,12,37,49,22,9,5,15,18
"MAR 17, 2015 - NYK vs. SAS",W,265,104,41,91,45.1,3,14,21.4,19,27,70.4,15,35,50,22,7,10,11,20
"MAR 15, 2015 - NYK @ PHX",L,240,89,32,73,43.8,5,14,35.7,20,30,66.7,6,29,35,22,10,2,13,22
"MAR 14, 2015 - NYK @ GSW",L,240,94,38,96,39.6,9,25,36,9,16,56.3,20,31,51,25,6,10,15,16
"MAR 12, 2015 - NYK @ LAL",W,240,101,36,77,46.8,9,18,50,20,26,76.9,4,29,33,27,5,9,8,19
"MAR 10, 2015 - NYK @ UTA",L,240,82,31,79,39.2,5,13,38.5,15,17,88.2,8,30,38,17,5,5,12,22
"MAR 09, 2015 - NYK @ DEN",L,240,78,29,75,38.7,5,13,38.5,15,25,60,8,37,45,21,3,10,14,22
"MAR 07, 2015 - NYK vs. IND",L,240,86,30,78,38.5,3,15,20,23,30,76.7,13,28,41,13,4,4,12,27
"MAR 04, 2015 - NYK @ IND",L,240,82,30,76,39.5,6,16,37.5,16,23,69.6,11,34,45,16,6,4,19,20
"MAR 03, 2015 - NYK vs. SAC",L,240,86,30,82,36.6,4,22,18.2,22,30,73.3,9,29,38,16,8,9,15,27
"FEB 28, 2015 - NYK vs. TOR",W,240,103,33,75,44,7,19,36.8,30,38,78.9,8,36,44,21,8,5,11,21
"FEB 27, 2015 - NYK @ DET",W,290,121,45,109,41.3,6,18,33.3,25,26,96.2,18,40,58,28,6,9,10,35
"FEB 25, 2015 - NYK @ BOS",L,240,94,34,82,41.5,2,21,9.5,24,31,77.4,9,32,41,19,6,4,13,20
"FEB 22, 2015 - NYK vs. CLE",L,240,83,37,99,37.4,3,19,15.8,6,7,85.7,19,31,50,16,8,2,11,16
"FEB 20, 2015 - NYK vs. MIA",L,240,87,35,82,42.7,6,18,33.3,11,16,68.8,7,25,32,28,10,6,20,26
"FEB 11, 2015 - NYK @ ORL",L,240,83,25,73,34.2,5,15,33.3,28,36,77.8,8,31,39,19,7,4,12,21
"FEB 09, 2015 - NYK @ MIA",L,240,95,36,84,42.9,7,20,35,16,19,84.2,11,24,35,22,8,8,13,22
"FEB 07, 2015 - NYK vs. GSW",L,240,92,35,87,40.2,8,18,44.4,14,17,82.4,15,29,44,23,7,1,13,20
"FEB 06, 2015 - NYK @ BKN",L,240,88,34,89,38.2,6,24,25,14,17,82.4,13,27,40,23,8,3,5,22
"FEB 03, 2015 - NYK vs. BOS",L,240,97,41,83,49.4,7,20,35,8,11,72.7,12,23,35,22,7,2,13,18
"FEB 01, 2015 - NYK vs. LAL",W,240,92,37,84,44,10,22,45.5,8,13,61.5,11,30,41,18,7,3,10,21
"JAN 29, 2015 - NYK @ IND",L,240,82,34,81,42,5,16,31.3,9,13,69.2,6,27,33,22,3,6,10,18
"JAN 28, 2015 - NYK vs. OKC",W,240,100,40,91,44,8,17,47.1,12,17,70.6,11,40,51,29,8,6,10,17
"JAN 24, 2015 - NYK @ CHA",L,240,71,28,79,35.4,6,15,40,9,18,50,14,40,54,20,4,6,14,28
"JAN 23, 2015 - NYK vs. ORL",W,240,113,43,91,47.3,10,25,40,17,21,81,12,37,49,29,6,4,14,18
"JAN 21, 2015 - NYK @ PHI",W,240,98,37,91,40.7,7,20,35,17,20,85,18,34,52,26,6,6,11,22
"JAN 19, 2015 - NYK vs. NOP",W,240,99,38,78,48.7,10,23,43.5,13,17,76.5,9,25,34,22,2,8,4,14
"JAN 15, 2015 - NYK @ MIL",L,240,79,28,68,41.2,8,22,36.4,15,20,75,5,31,36,22,5,6,21,32
"JAN 10, 2015 - NYK vs. CHA",L,240,82,33,85,38.8,8,29,27.6,8,9,88.9,4,25,29,17,9,4,12,24
"JAN 08, 2015 - NYK vs. HOU",L,240,96,37,80,46.3,11,26,42.3,11,21,52.4,10,28,38,22,12,1,21,22
"JAN 07, 2015 - NYK @ WAS",L,240,91,34,82,41.5,11,26,42.3,12,16,75,10,31,41,18,11,0,15,22
"JAN 05, 2015 - NYK @ MEM",L,240,83,33,76,43.4,8,26,30.8,9,13,69.2,7,30,37,25,9,5,20,17
"JAN 04, 2015 - NYK vs. MIL",L,240,82,31,76,40.8,9,25,36,11,14,78.6,7,29,36,23,8,2,16,20
"JAN 02, 2015 - NYK vs. DET",L,240,81,32,91,35.2,10,24,41.7,7,14,50,17,30,47,18,13,4,11,15
"DEC 31, 2014 - NYK @ LAC",L,240,78,32,84,38.1,4,17,23.5,10,15,66.7,7,33,40,24,6,2,7,19
"DEC 28, 2014 - NYK @ POR",L,240,79,31,93,33.3,7,27,25.9,10,15,66.7,15,34,49,19,6,1,11,13
"DEC 27, 2014 - NYK @ SAC",L,265,129,48,97,49.5,6,20,30,27,32,84.4,16,27,43,30,10,10,15,29
"DEC 25, 2014 - NYK vs. WAS",L,240,91,36,80,45,4,22,18.2,15,19,78.9,6,30,36,17,5,4,7,15
"DEC 21, 2014 - NYK @ TOR",L,240,108,40,82,48.8,5,14,35.7,23,26,88.5,8,24,32,27,6,5,11,22
"DEC 20, 2014 - NYK vs. PHX",L,240,90,35,88,39.8,7,22,31.8,13,16,81.3,17,28,45,17,11,4,14,21
"DEC 18, 2014 - NYK @ CHI",L,240,97,38,82,46.3,6,9,66.7,15,19,78.9,14,27,41,19,7,6,16,24
"DEC 16, 2014 - NYK vs. DAL",L,240,87,37,84,44,5,21,23.8,8,10,80,10,25,35,23,11,5,12,13
"DEC 14, 2014 - NYK vs. TOR",L,265,90,29,78,37.2,9,29,31,23,28,82.1,12,31,43,15,11,4,22,22
"DEC 12, 2014 - NYK @ BOS",W,240,101,40,81,49.4,6,16,37.5,15,18,83.3,11,29,40,26,13,5,13,20
"DEC 10, 2014 - NYK @ SAS",L,240,95,37,76,48.7,6,15,40,15,17,88.2,10,26,36,22,4,1,17,25
"DEC 09, 2014 - NYK @ NOP",L,240,93,37,78,47.4,9,19,47.4,10,13,76.9,6,24,30,19,8,8,13,20
"DEC 07, 2014 - NYK vs. POR",L,240,99,41,79,51.9,5,19,26.3,12,14,85.7,4,33,37,20,6,4,13,23
"DEC 05, 2014 - NYK @ CHA",L,240,102,37,79,46.8,10,22,45.5,18,22,81.8,4,30,34,23,5,4,6,21
"DEC 04, 2014 - NYK vs. CLE",L,240,87,37,88,42,8,26,30.8,5,6,83.3,17,30,47,26,11,3,21,25
"DEC 02, 2014 - NYK vs. BKN",L,240,93,35,81,43.2,11,28,39.3,12,14,85.7,13,27,40,22,8,3,14,21
"NOV 30, 2014 - NYK vs. MIA",L,240,79,31,88,35.2,3,24,12.5,14,20,70,20,30,50,14,6,3,12,22
"NOV 28, 2014 - NYK @ OKC",L,240,78,29,75,38.7,2,19,10.5,18,24,75,7,26,33,17,3,6,12,22
"NOV 26, 2014 - NYK @ DAL",L,265,102,39,92,42.4,14,28,50,10,16,62.5,15,38,53,21,7,3,21,32
"NOV 24, 2014 - NYK @ HOU",L,240,86,35,76,46.1,6,22,27.3,10,15,66.7,9,31,40,25,8,5,17,20
"NOV 22, 2014 - NYK vs. PHI",W,240,91,33,66,50,6,17,35.3,19,21,90.5,6,34,40,15,7,2,18,22
"NOV 19, 2014 - NYK @ MIN",L,240,99,34,69,49.3,9,16,56.3,22,28,78.6,8,25,33,19,6,3,22,22
"NOV 18, 2014 - NYK @ MIL",L,240,113,44,80,55,11,25,44,14,19,73.7,11,17,28,30,9,3,12,22
"NOV 16, 2014 - NYK vs. DEN",W,240,109,41,76,53.9,6,14,42.9,21,27,77.8,8,35,43,16,9,3,15,22
"NOV 14, 2014 - NYK vs. UTA",L,240,100,39,82,47.6,5,8,62.5,17,20,85,7,24,31,15,12,1,8,26
"NOV 12, 2014 - NYK vs. ORL",L,240,95,37,86,43,8,23,34.8,13,14,92.9,11,29,40,17,2,6,7,27
"NOV 10, 2014 - NYK vs. ATL",L,240,85,36,83,43.4,6,26,23.1,7,12,58.3,11,29,40,23,4,2,15,26
"NOV 08, 2014 - NYK @ ATL",L,240,96,40,84,47.6,8,21,38.1,8,11,72.7,13,31,44,26,2,6,15,29
"NOV 07, 2014 - NYK @ BKN",L,240,99,37,90,41.1,8,19,42.1,17,21,81,15,28,43,22,7,2,14,24
"NOV 05, 2014 - NYK @ DET",L,240,95,39,90,43.3,9,20,45,8,10,80,11,32,43,25,3,9,9,23
"NOV 04, 2014 - NYK vs. WAS",L,240,83,30,81,37,8,15,53.3,15,19,78.9,15,28,43,16,5,4,18,23
"NOV 02, 2014 - NYK vs. CHA",W,240,96,39,78,50,8,16,50,10,17,58.8,8,27,35,23,5,0,12,26
"OCT 30, 2014 - NYK @ CLE",W,240,95,37,69,53.6,6,12,50,15,18,83.3,9,26,35,30,9,1,15,26
"OCT 29, 2014 - NYK vs. CHI",L,240,80,31,85,36.5,3,17,17.6,15,17,88.2,14,24,38,19,9,5,11,22
"APR 15, 2015 - ORL @ BKN",L,240,88,38,79,48.1,7,20,35,5,13,38.5,10,32,42,18,6,4,17,21
"APR 13, 2015 - ORL @ MIA",L,240,93,35,85,41.2,6,21,28.6,17,28,60.7,11,30,41,14,10,4,8,23
"APR 11, 2015 - ORL vs. NYK",L,240,79,30,84,35.7,6,22,27.3,13,18,72.2,11,38,49,15,10,4,13,18
"APR 10, 2015 - ORL vs. TOR",L,240,99,41,89,46.1,7,20,35,10,10,100,14,32,46,21,11,4,16,19
"APR 08, 2015 - ORL vs. CHI",W,240,105,38,82,46.3,8,23,34.8,21,24,87.5,13,31,44,21,8,3,15,19
"APR 04, 2015 - ORL @ MIL",W,240,97,40,86,46.5,8,21,38.1,9,13,69.2,12,33,45,23,7,10,12,13
"APR 03, 2015 - ORL @ MIN",W,240,97,40,92,43.5,6,21,28.6,11,17,64.7,20,33,53,23,12,1,19,24
"APR 01, 2015 - ORL vs. SAS",L,240,91,39,93,41.9,5,17,29.4,8,9,88.9,14,36,50,24,7,7,12,15
"MAR 27, 2015 - ORL vs. DET",L,240,97,43,82,52.4,3,15,20,8,8,100,8,32,40,31,3,2,16,24
"MAR 25, 2015 - ORL vs. ATL",L,240,83,32,78,41,3,16,18.8,16,20,80,10,32,42,19,7,3,17,14
"MAR 22, 2015 - ORL vs. DEN",L,240,100,41,85,48.2,4,17,23.5,14,17,82.4,11,29,40,26,7,4,18,26
"MAR 20, 2015 - ORL vs. POR",W,240,111,43,94,45.7,5,12,41.7,20,24,83.3,18,32,50,22,9,1,7,22
"MAR 18, 2015 - ORL @ DAL",L,240,102,40,87,46,9,28,32.1,13,14,92.9,11,30,41,28,12,5,18,24
"MAR 17, 2015 - ORL @ HOU",L,240,94,38,89,42.7,6,22,27.3,12,17,70.6,12,28,40,19,8,6,10,21
"MAR 15, 2015 - ORL vs. CLE",L,240,108,42,88,47.7,9,19,47.4,15,27,55.6,17,27,44,24,10,1,13,15
"MAR 13, 2015 - ORL @ BOS",L,240,88,34,80,42.5,6,20,30,14,28,50,10,40,50,20,9,4,19,21
"MAR 11, 2015 - ORL @ MIL",L,240,91,34,85,40,10,18,55.6,13,13,100,9,24,33,21,14,4,14,18
"MAR 10, 2015 - ORL @ IND",L,240,86,34,92,37,4,17,23.5,14,20,70,19,26,45,15,9,7,10,17
"MAR 08, 2015 - ORL vs. BOS",W,240,103,38,87,43.7,7,22,31.8,20,30,66.7,18,38,56,20,8,8,15,15
"MAR 06, 2015 - ORL vs. SAC",W,240,119,48,85,56.5,13,24,54.2,10,12,83.3,8,29,37,29,10,5,10,24
"MAR 04, 2015 - ORL vs. PHX",L,240,100,41,87,47.1,5,20,25,13,15,86.7,9,33,42,21,13,5,20,26
"MAR 01, 2015 - ORL vs. CHA",L,240,83,31,85,36.5,6,15,40,15,20,75,10,34,44,16,8,3,11,19
"FEB 27, 2015 - ORL @ ATL",L,240,88,36,80,45,9,26,34.6,7,13,53.8,10,30,40,22,10,7,17,17
"FEB 25, 2015 - ORL vs. MIA",L,265,90,33,78,42.3,6,22,27.3,18,31,58.1,12,38,50,17,4,1,18,28
"FEB 22, 2015 - ORL vs. PHI",W,240,103,39,82,47.6,6,23,26.1,19,26,73.1,12,26,38,19,9,2,15,21
"FEB 20, 2015 - ORL vs. NOP",W,240,95,44,88,50,4,18,22.2,3,6,50,9,33,42,22,4,3,9,21
"FEB 11, 2015 - ORL vs. NYK",W,240,89,31,67,46.3,4,11,36.4,23,28,82.1,7,37,44,13,6,9,16,26
"FEB 09, 2015 - ORL @ WAS",L,240,80,33,83,39.8,4,22,18.2,10,15,66.7,8,25,33,18,13,6,11,24
"FEB 08, 2015 - ORL vs. CHI",L,240,97,39,83,47,9,25,36,10,13,76.9,13,32,45,21,9,4,16,21
"FEB 06, 2015 - ORL vs. LAL",W,265,103,43,83,51.8,5,15,33.3,12,14,85.7,10,38,48,26,9,6,18,13
"FEB 04, 2015 - ORL @ SAS",L,240,103,42,84,50,10,21,47.6,9,14,64.3,5,34,39,27,6,1,12,16
"FEB 02, 2015 - ORL @ OKC",L,240,97,38,90,42.2,6,23,26.1,15,18,83.3,14,30,44,23,5,1,13,21
"JAN 31, 2015 - ORL vs. DAL",L,240,93,33,78,42.3,8,24,33.3,19,24,79.2,11,31,42,21,9,3,15,24
"JAN 29, 2015 - ORL vs. MIL",L,240,100,37,82,45.1,5,18,27.8,21,30,70,14,35,49,14,8,4,23,18
"JAN 26, 2015 - ORL @ MEM",L,240,94,37,78,47.4,4,12,33.3,16,25,64,13,31,44,14,8,3,17,22
"JAN 25, 2015 - ORL vs. IND",L,240,99,38,78,48.7,6,17,35.3,17,23,73.9,3,30,33,22,7,5,12,21
"JAN 23, 2015 - ORL @ NYK",L,240,106,44,87,50.6,7,27,25.9,11,19,57.9,8,31,39,27,10,4,14,19
"JAN 21, 2015 - ORL @ DET",L,240,118,48,97,49.5,6,15,40,16,16,100,13,29,42,29,9,5,14,21
"JAN 18, 2015 - ORL vs. OKC",L,240,99,35,88,39.8,8,23,34.8,21,27,77.8,10,23,33,18,9,2,18,29
"JAN 16, 2015 - ORL vs. MEM",L,240,96,36,79,45.6,9,24,37.5,15,20,75,5,34,39,22,5,4,15,22
"JAN 14, 2015 - ORL vs. HOU",W,240,120,44,90,48.9,9,26,34.6,23,26,88.5,10,29,39,22,14,1,15,19
"JAN 12, 2015 - ORL @ CHI",W,240,121,48,81,59.3,7,18,38.9,18,29,62.1,2,32,34,28,10,3,10,25
"JAN 10, 2015 - ORL @ POR",L,240,92,37,92,40.2,3,21,14.3,15,20,75,17,32,49,22,10,0,16,22
"JAN 09, 2015 - ORL @ LAL",L,240,84,30,76,39.5,6,14,42.9,18,23,78.3,4,32,36,19,8,7,15,27
"JAN 07, 2015 - ORL @ DEN",L,240,90,35,88,39.8,8,22,36.4,12,16,75,10,32,42,21,11,2,14,24
"JAN 03, 2015 - ORL vs. CHA",L,240,90,33,87,37.9,4,19,21.1,20,21,95.2,12,32,44,18,9,3,7,24
"JAN 02, 2015 - ORL vs. BKN",L,240,98,37,88,42,11,22,50,13,20,65,8,29,37,22,13,3,11,18
"DEC 30, 2014 - ORL vs. DET",L,240,86,38,85,44.7,4,20,20,6,10,60,7,35,42,19,7,3,15,21
"DEC 29, 2014 - ORL @ MIA",W,240,102,41,77,53.2,11,25,44,9,13,69.2,8,26,34,21,9,2,14,25
"DEC 27, 2014 - ORL @ CHA",W,240,102,38,83,45.8,8,20,40,18,24,75,5,35,40,22,6,4,6,18
"DEC 26, 2014 - ORL vs. CLE",L,240,89,36,73,49.3,9,21,42.9,8,12,66.7,5,31,36,25,8,4,16,25
"DEC 23, 2014 - ORL vs. BOS",W,240,100,39,83,47,7,18,38.9,15,23,65.2,7,38,45,23,7,4,14,21
"DEC 21, 2014 - ORL vs. PHI",L,240,88,35,84,41.7,7,23,30.4,11,20,55,13,30,43,21,11,6,14,22
"DEC 19, 2014 - ORL vs. UTA",L,240,94,37,83,44.6,12,22,54.5,8,12,66.7,9,25,34,28,6,2,12,22
"DEC 17, 2014 - ORL @ BOS",L,240,92,37,85,43.5,5,19,26.3,13,15,86.7,10,26,36,17,8,1,12,16
