Matchup,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
"JAN 27, 2015 - CHI @ GSW",W,265,113,42,98,42.9,8,29,27.6,21,23,91.3,19,42,61,19,6,6,21,18
"JAN 25, 2015 - CHI vs. MIA",L,240,84,31,87,35.6,7,24,29.2,15,19,78.9,14,29,43,15,5,10,9,16
"JAN 23, 2015 - CHI @ DAL",W,240,102,38,78,48.7,9,16,56.3,17,20,85,15,32,47,22,8,5,21,18
"JAN 22, 2015 - CHI vs. SAS",W,240,104,36,76,47.4,6,19,31.6,26,32,81.3,8,38,46,19,7,8,10,16
"JAN 19, 2015 - CHI @ CLE",L,240,94,30,80,37.5,8,16,50,26,32,81.3,11,29,40,12,5,9,8,16
"JAN 17, 2015 - CHI vs. ATL",L,240,99,37,80,46.3,9,26,34.6,16,20,80,7,36,43,25,5,5,13,21
"JAN 16, 2015 - CHI @ BOS",W,240,119,48,89,53.9,13,25,52,10,12,83.3,8,28,36,28,12,6,7,14
"JAN 14, 2015 - CHI vs. WAS",L,240,99,34,79,43,13,27,48.1,18,24,75,8,25,33,18,10,5,12,21
"JAN 12, 2015 - CHI vs. ORL",L,240,114,41,84,48.8,8,27,29.6,24,33,72.7,11,32,43,25,6,5,14,20
"JAN 10, 2015 - CHI vs. MIL",W,240,95,35,88,39.8,4,17,23.5,21,24,87.5,22,29,51,24,5,5,12,18
"JAN 09, 2015 - CHI @ WAS",L,240,86,32,83,38.6,10,26,38.5,12,19,63.2,11,35,46,16,9,8,16,15
"JAN 07, 2015 - CHI vs. UTA",L,240,77,28,84,33.3,6,20,30,15,20,75,16,27,43,17,5,5,15,20
"JAN 05, 2015 - CHI vs. HOU",W,240,114,41,85,48.2,5,17,29.4,27,30,90,17,30,47,27,10,12,17,13
"JAN 03, 2015 - CHI vs. BOS",W,265,109,37,100,37,6,28,21.4,29,40,72.5,24,35,59,19,10,9,16,14
"JAN 01, 2015 - CHI vs. DEN",W,240,106,38,91,41.8,8,15,53.3,22,25,88,13,33,46,22,7,18,7,19
"DEC 30, 2014 - CHI vs. BKN",L,240,82,33,86,38.4,8,25,32,8,15,53.3,13,35,48,22,5,11,12,18
"DEC 29, 2014 - CHI @ IND",W,240,92,29,84,34.5,5,13,38.5,29,33,87.9,14,32,46,17,8,7,10,16
"DEC 27, 2014 - CHI vs. NOP",W,240,107,41,89,46.1,6,20,30,19,22,86.4,15,30,45,19,8,6,13,17
"DEC 25, 2014 - CHI vs. LAL",W,240,113,42,86,48.8,10,24,41.7,19,25,76,20,37,57,27,1,7,13,12
"DEC 23, 2014 - CHI @ WAS",W,240,99,39,85,45.9,5,17,29.4,16,24,66.7,8,44,52,20,5,7,10,14
"DEC 22, 2014 - CHI vs. TOR",W,240,129,40,74,54.1,6,12,50,43,47,91.5,12,29,41,20,4,13,15,20
"DEC 19, 2014 - CHI @ MEM",W,240,103,32,73,43.8,10,26,38.5,29,33,87.9,8,43,51,17,2,3,9,18
"DEC 18, 2014 - CHI vs. NYK",W,240,103,34,75,45.3,12,23,52.2,23,30,76.7,11,21,32,23,9,8,11,17
"DEC 15, 2014 - CHI @ ATL",L,240,86,35,93,37.6,6,29,20.7,10,14,71.4,15,42,57,18,3,6,14,17
"DEC 14, 2014 - CHI @ MIA",W,240,93,33,71,46.5,9,18,50,18,21,85.7,8,36,44,21,4,8,19,18
"DEC 12, 2014 - CHI vs. POR",W,240,115,44,88,50,5,15,33.3,22,28,78.6,14,33,47,18,5,3,7,11
"DEC 10, 2014 - CHI vs. BKN",W,240,105,37,79,46.8,8,22,36.4,23,32,71.9,15,42,57,21,6,11,15,18
"DEC 06, 2014 - CHI vs. GSW",L,240,102,36,83,43.4,7,21,33.3,23,27,85.2,17,33,50,24,6,3,22,23
"DEC 03, 2014 - CHI @ CHA",W,240,102,37,80,46.3,12,28,42.9,16,21,76.2,4,45,49,27,4,1,11,18
